,network_name,zero_count
10,7Networks_LH_Vis_11,1
13,7Networks_LH_Vis_14,1
14,7Networks_LH_Vis_15,2
20,7Networks_LH_Vis_21,1
21,7Networks_LH_Vis_22,2
23,7Networks_LH_Vis_24,3
24,7Networks_LH_Vis_25,1
32,7Networks_LH_Vis_33,1
33,7Networks_LH_Vis_34,1
34,7Networks_LH_Vis_35,4
42,7Networks_LH_Vis_43,1
94,7Networks_LH_SomMot_37,2
103,7Networks_LH_SomMot_46,1
113,7Networks_LH_SomMot_56,2
115,7Networks_LH_SomMot_58,1
116,7Networks_LH_SomMot_59,1
117,7Networks_LH_SomMot_60,3
118,7Networks_LH_SomMot_61,1
119,7Networks_LH_SomMot_62,3
120,7Networks_LH_SomMot_63,1
121,7Networks_LH_SomMot_64,1
154,7Networks_LH_DorsAttn_Post_33,2
197,7Networks_LH_SalVentAttn_Med_12,1
199,7Networks_LH_SalVentAttn_Med_14,2
200,7Networks_LH_SalVentAttn_Med_15,1
201,7Networks_LH_Limbic_OFC_1,2374
202,7Networks_LH_Limbic_OFC_2,35
203,7Networks_LH_Limbic_OFC_3,1841
204,7Networks_LH_Limbic_OFC_4,10
205,7Networks_LH_Limbic_OFC_5,1053
206,7Networks_LH_Limbic_OFC_6,49
207,7Networks_LH_Limbic_OFC_7,20
208,7Networks_LH_Limbic_OFC_8,82
209,7Networks_LH_Limbic_OFC_9,7
210,7Networks_LH_Limbic_TempPole_1,138
211,7Networks_LH_Limbic_TempPole_2,11
212,7Networks_LH_Limbic_TempPole_3,72
213,7Networks_LH_Limbic_TempPole_4,6
214,7Networks_LH_Limbic_TempPole_5,2
215,7Networks_LH_Limbic_TempPole_6,146
216,7Networks_LH_Limbic_TempPole_7,3
217,7Networks_LH_Limbic_TempPole_8,18
221,7Networks_LH_Limbic_TempPole_12,194
222,7Networks_LH_Limbic_TempPole_13,1
233,7Networks_LH_Cont_Temp_1,10
234,7Networks_LH_Cont_OFC_1,8
235,7Networks_LH_Cont_PFCl_1,1
248,7Networks_LH_Cont_PFCl_14,1
251,7Networks_LH_Cont_PFCv_2,2
263,7Networks_LH_Default_Temp_1,1
264,7Networks_LH_Default_Temp_2,5
265,7Networks_LH_Default_Temp_3,2
267,7Networks_LH_Default_Temp_5,3
269,7Networks_LH_Default_Temp_7,1
271,7Networks_LH_Default_Temp_9,1
291,7Networks_LH_Default_PFC_1,11
292,7Networks_LH_Default_PFC_2,4
294,7Networks_LH_Default_PFC_4,7
295,7Networks_LH_Default_PFC_5,2
296,7Networks_LH_Default_PFC_6,4
297,7Networks_LH_Default_PFC_7,19
299,7Networks_LH_Default_PFC_9,1
300,7Networks_LH_Default_PFC_10,4
314,7Networks_LH_Default_PFC_24,2
318,7Networks_LH_Default_PFC_28,3
321,7Networks_LH_Default_PFC_31,1
324,7Networks_LH_Default_PFC_34,3
325,7Networks_LH_Default_PFC_35,1
326,7Networks_LH_Default_PFC_36,3
327,7Networks_LH_Default_PFC_37,4
371,7Networks_RH_Vis_22,2
374,7Networks_RH_Vis_25,3
383,7Networks_RH_Vis_34,2
385,7Networks_RH_Vis_36,2
386,7Networks_RH_Vis_37,1
393,7Networks_RH_Vis_44,2
396,7Networks_RH_Vis_47,1
421,7Networks_RH_SomMot_10,1
437,7Networks_RH_SomMot_26,1
452,7Networks_RH_SomMot_41,1
465,7Networks_RH_SomMot_54,3
466,7Networks_RH_SomMot_55,1
470,7Networks_RH_SomMot_59,1
472,7Networks_RH_SomMot_61,3
475,7Networks_RH_SomMot_64,4
476,7Networks_RH_DorsAttn_Post_1,1
477,7Networks_RH_DorsAttn_Post_2,15
478,7Networks_RH_DorsAttn_Post_3,1
507,7Networks_RH_DorsAttn_Post_32,1
558,7Networks_RH_SalVentAttn_Med_11,3
559,7Networks_RH_Limbic_OFC_1,46
560,7Networks_RH_Limbic_OFC_2,3110
561,7Networks_RH_Limbic_OFC_3,1077
562,7Networks_RH_Limbic_OFC_4,251
563,7Networks_RH_Limbic_OFC_5,8
564,7Networks_RH_Limbic_OFC_6,25
565,7Networks_RH_Limbic_OFC_7,80
566,7Networks_RH_Limbic_OFC_8,33
567,7Networks_RH_Limbic_OFC_9,13
568,7Networks_RH_Limbic_OFC_10,20
569,7Networks_RH_Limbic_OFC_11,5
570,7Networks_RH_Limbic_TempPole_1,22
571,7Networks_RH_Limbic_TempPole_2,66
572,7Networks_RH_Limbic_TempPole_3,4
573,7Networks_RH_Limbic_TempPole_4,4
574,7Networks_RH_Limbic_TempPole_5,4
575,7Networks_RH_Limbic_TempPole_6,61
576,7Networks_RH_Limbic_TempPole_7,24
577,7Networks_RH_Limbic_TempPole_8,16
578,7Networks_RH_Limbic_TempPole_9,1
579,7Networks_RH_Limbic_TempPole_10,3
580,7Networks_RH_Limbic_TempPole_11,8
581,7Networks_RH_Limbic_TempPole_12,2
596,7Networks_RH_Cont_Temp_1,1
597,7Networks_RH_Cont_Temp_2,30
599,7Networks_RH_Cont_Temp_4,1
602,7Networks_RH_Cont_PFCl_1,8
603,7Networks_RH_Cont_PFCl_2,1
604,7Networks_RH_Cont_PFCl_3,2
605,7Networks_RH_Cont_PFCl_4,2
624,7Networks_RH_Cont_PFCl_23,2
625,7Networks_RH_Cont_PFCl_24,2
647,7Networks_RH_Default_Temp_1,3
648,7Networks_RH_Default_Temp_2,1
649,7Networks_RH_Default_Temp_3,1
651,7Networks_RH_Default_Temp_5,3
659,7Networks_RH_Default_PFCv_1,6
660,7Networks_RH_Default_PFCv_2,3
661,7Networks_RH_Default_PFCv_3,1
662,7Networks_RH_Default_PFCv_4,1
664,7Networks_RH_Default_PFCdPFCm_1,11
665,7Networks_RH_Default_PFCdPFCm_2,1
666,7Networks_RH_Default_PFCdPFCm_3,6
670,7Networks_RH_Default_PFCdPFCm_7,1
676,7Networks_RH_Default_PFCdPFCm_13,1
677,7Networks_RH_Default_PFCdPFCm_14,1
679,7Networks_RH_Default_PFCdPFCm_16,1
680,7Networks_RH_Default_PFCdPFCm_17,3
681,7Networks_RH_Default_PFCdPFCm_18,1
682,7Networks_RH_Default_PFCdPFCm_19,2
