,network_name,zero_count
4,7Networks_LH_Vis_5,1
6,7Networks_LH_Vis_7,1
54,7Networks_LH_Limbic_OFC_1,10
55,7Networks_LH_Limbic_OFC_2,16
56,7Networks_LH_Limbic_TempPole_1,1
58,7Networks_LH_Limbic_TempPole_3,19
63,7Networks_LH_Cont_Temp_1,1
64,7Networks_LH_Cont_OFC_1,5
83,7Networks_LH_Default_PFC_2,6
94,7Networks_LH_Default_PFC_13,2
158,7Networks_RH_Limbic_OFC_1,14
159,7Networks_RH_Limbic_OFC_2,3
160,7Networks_RH_Limbic_OFC_3,1
161,7Networks_RH_Limbic_TempPole_1,11
168,7Networks_RH_Cont_PFCv_1,1
169,7Networks_RH_Cont_PFCl_1,1
184,7Networks_RH_Default_Temp_1,1
190,7Networks_RH_Default_PFCdPFCm_1,2
