,network_name,zero_count
1,17Networks_LH_VisCent_ExStr_2,1
2,17Networks_LH_VisCent_Striate_1,1
50,17Networks_LH_LimbicB_OFC_1,10
51,17Networks_LH_LimbicB_OFC_2,16
52,17Networks_LH_LimbicA_TempPole_1,1
54,17Networks_LH_LimbicA_TempPole_3,19
66,17Networks_LH_ContB_Temp_1,1
79,17Networks_LH_DefaultA_PFCm_1,6
90,17Networks_LH_DefaultB_PFCd_4,2
92,17Networks_LH_DefaultB_PFCv_2,5
153,17Networks_RH_SalVentAttnB_Ins_1,1
156,17Networks_RH_LimbicB_OFC_1,14
157,17Networks_RH_LimbicB_OFC_2,3
158,17Networks_RH_LimbicB_OFC_3,2
159,17Networks_RH_LimbicB_OFC_4,1
160,17Networks_RH_LimbicA_TempPole_1,11
176,17Networks_RH_ContB_PFClv_1,1
190,17Networks_RH_DefaultB_AntTemp_1,1
