,network_name,zero_count
12,7Networks_LH_Vis_13,2
14,7Networks_LH_Vis_15,1
15,7Networks_LH_Vis_16,2
20,7Networks_LH_Vis_21,1
21,7Networks_LH_Vis_22,1
24,7Networks_LH_Vis_25,2
78,7Networks_LH_SomMot_40,1
80,7Networks_LH_SomMot_42,1
83,7Networks_LH_SomMot_45,1
84,7Networks_LH_SomMot_46,1
85,7Networks_LH_SomMot_47,2
137,7Networks_LH_SalVentAttn_Med_10,1
138,7Networks_LH_Limbic_OFC_1,532
139,7Networks_LH_Limbic_OFC_2,8
140,7Networks_LH_Limbic_OFC_3,48
141,7Networks_LH_Limbic_OFC_4,20
142,7Networks_LH_Limbic_OFC_5,224
143,7Networks_LH_Limbic_OFC_6,4
144,7Networks_LH_Limbic_TempPole_1,86
145,7Networks_LH_Limbic_TempPole_2,5
146,7Networks_LH_Limbic_TempPole_3,4
147,7Networks_LH_Limbic_TempPole_4,3
148,7Networks_LH_Limbic_TempPole_5,18
149,7Networks_LH_Limbic_TempPole_6,2
164,7Networks_LH_Cont_PFCd_2,2
165,7Networks_LH_Cont_OFC_1,7
174,7Networks_LH_Cont_PFCl_9,1
188,7Networks_LH_Default_Temp_4,1
206,7Networks_LH_Default_PFC_1,10
207,7Networks_LH_Default_PFC_2,4
209,7Networks_LH_Default_PFC_4,4
210,7Networks_LH_Default_PFC_5,2
211,7Networks_LH_Default_PFC_6,4
213,7Networks_LH_Default_PFC_8,1
214,7Networks_LH_Default_PFC_9,1
234,7Networks_LH_Default_PFC_29,3
235,7Networks_LH_Default_PFC_30,2
263,7Networks_RH_Vis_14,2
268,7Networks_RH_Vis_19,1
271,7Networks_RH_Vis_22,1
324,7Networks_RH_SomMot_40,1
329,7Networks_RH_SomMot_45,3
330,7Networks_RH_SomMot_46,1
331,7Networks_RH_SomMot_47,2
394,7Networks_RH_SalVentAttn_Med_11,2
396,7Networks_RH_SalVentAttn_Med_13,3
397,7Networks_RH_Limbic_OFC_1,34
398,7Networks_RH_Limbic_OFC_2,793
399,7Networks_RH_Limbic_OFC_3,10
400,7Networks_RH_Limbic_OFC_4,29
401,7Networks_RH_Limbic_OFC_5,100
402,7Networks_RH_Limbic_OFC_6,16
403,7Networks_RH_Limbic_OFC_7,7
404,7Networks_RH_Limbic_TempPole_1,6
405,7Networks_RH_Limbic_TempPole_2,28
406,7Networks_RH_Limbic_TempPole_3,2
407,7Networks_RH_Limbic_TempPole_4,2
408,7Networks_RH_Limbic_TempPole_5,9
409,7Networks_RH_Limbic_TempPole_6,3
410,7Networks_RH_Limbic_TempPole_7,11
420,7Networks_RH_Cont_Temp_1,1
423,7Networks_RH_Cont_PFCl_1,7
424,7Networks_RH_Cont_PFCl_2,3
425,7Networks_RH_Cont_PFCl_3,1
435,7Networks_RH_Cont_PFCl_13,1
441,7Networks_RH_Cont_PFCl_19,1
460,7Networks_RH_Default_Temp_1,1
461,7Networks_RH_Default_Temp_2,1
464,7Networks_RH_Default_Temp_5,2
468,7Networks_RH_Default_Temp_9,1
470,7Networks_RH_Default_PFCv_1,2
471,7Networks_RH_Default_PFCv_2,3
472,7Networks_RH_Default_PFCv_3,1
474,7Networks_RH_Default_PFCdPFCm_1,8
475,7Networks_RH_Default_PFCdPFCm_2,5
476,7Networks_RH_Default_PFCdPFCm_3,1
481,7Networks_RH_Default_PFCdPFCm_8,3
485,7Networks_RH_Default_PFCdPFCm_12,3
487,7Networks_RH_Default_PFCdPFCm_14,1
488,7Networks_RH_Default_PFCdPFCm_15,3
