,network_name,zero_count
655,7Networks_RH_SomMot_75,1
663,7Networks_RH_SomMot_83,1
664,7Networks_RH_SomMot_84,1
669,7Networks_RH_SomMot_89,1
671,7Networks_RH_SomMot_91,3
675,7Networks_RH_SomMot_95,1
676,7Networks_RH_SomMot_96,3
679,7Networks_RH_SomMot_99,3
680,7Networks_RH_SomMot_100,2
681,7Networks_RH_SomMot_101,2
683,7Networks_RH_SomMot_103,1
684,7Networks_RH_DorsAttn_Post_1,4
686,7Networks_RH_DorsAttn_Post_3,1
688,7Networks_RH_DorsAttn_Post_5,2
728,7Networks_RH_DorsAttn_Post_45,1
764,7Networks_RH_SalVentAttn_PrC_2,1
765,7Networks_RH_SalVentAttn_FrOperIns_1,2
809,7Networks_RH_SalVentAttn_Med_19,3
810,7Networks_RH_SalVentAttn_Med_20,1
811,7Networks_RH_Limbic_OFC_1,45
812,7Networks_RH_Limbic_OFC_2,420
813,7Networks_RH_Limbic_OFC_3,1386
814,7Networks_RH_Limbic_OFC_4,4868
815,7Networks_RH_Limbic_OFC_5,295
816,7Networks_RH_Limbic_OFC_6,11
817,7Networks_RH_Limbic_OFC_7,23
818,7Networks_RH_Limbic_OFC_8,2224
819,7Networks_RH_Limbic_OFC_9,101
820,7Networks_RH_Limbic_OFC_10,37
821,7Networks_RH_Limbic_OFC_11,33
822,7Networks_RH_Limbic_OFC_12,17
823,7Networks_RH_Limbic_OFC_13,6
824,7Networks_RH_Limbic_OFC_14,5
825,7Networks_RH_Limbic_TempPole_1,111
826,7Networks_RH_Limbic_TempPole_2,25
827,7Networks_RH_Limbic_TempPole_3,3
828,7Networks_RH_Limbic_TempPole_4,5
829,7Networks_RH_Limbic_TempPole_5,2
830,7Networks_RH_Limbic_TempPole_6,55
831,7Networks_RH_Limbic_TempPole_7,21
832,7Networks_RH_Limbic_TempPole_8,33
833,7Networks_RH_Limbic_TempPole_9,5
834,7Networks_RH_Limbic_TempPole_10,6
835,7Networks_RH_Limbic_TempPole_11,26
836,7Networks_RH_Limbic_TempPole_12,2
837,7Networks_RH_Limbic_TempPole_13,6
838,7Networks_RH_Limbic_TempPole_14,9
841,7Networks_RH_Limbic_TempPole_17,1
859,7Networks_RH_Cont_Temp_1,2
860,7Networks_RH_Cont_Temp_2,41
862,7Networks_RH_Cont_Temp_4,1
864,7Networks_RH_Cont_PFCv_2,1
865,7Networks_RH_Cont_PFCl_1,6
866,7Networks_RH_Cont_PFCl_2,7
867,7Networks_RH_Cont_PFCl_3,4
868,7Networks_RH_Cont_PFCl_4,1
869,7Networks_RH_Cont_PFCl_5,1
870,7Networks_RH_Cont_PFCl_6,1
875,7Networks_RH_Cont_PFCl_11,2
886,7Networks_RH_Cont_PFCl_22,1
891,7Networks_RH_Cont_PFCl_27,1
892,7Networks_RH_Cont_PFCl_28,1
894,7Networks_RH_Cont_PFCl_30,1
897,7Networks_RH_Cont_PFCl_33,2
910,7Networks_RH_Cont_PFCmp_4,1
928,7Networks_RH_Default_Temp_1,2
929,7Networks_RH_Default_Temp_2,4
930,7Networks_RH_Default_Temp_3,1
931,7Networks_RH_Default_Temp_4,1
934,7Networks_RH_Default_Temp_7,4
937,7Networks_RH_Default_Temp_10,22
942,7Networks_RH_Default_Temp_15,2
946,7Networks_RH_Default_PFCv_1,8
947,7Networks_RH_Default_PFCv_2,2
948,7Networks_RH_Default_PFCv_3,5
949,7Networks_RH_Default_PFCv_4,2
951,7Networks_RH_Default_PFCv_6,2
952,7Networks_RH_Default_PFCv_7,1
953,7Networks_RH_Default_PFCv_8,2
956,7Networks_RH_Default_PFCdPFCm_1,6
957,7Networks_RH_Default_PFCdPFCm_2,4
958,7Networks_RH_Default_PFCdPFCm_3,1
959,7Networks_RH_Default_PFCdPFCm_4,2
960,7Networks_RH_Default_PFCdPFCm_5,1
961,7Networks_RH_Default_PFCdPFCm_6,1
965,7Networks_RH_Default_PFCdPFCm_10,2
972,7Networks_RH_Default_PFCdPFCm_17,1
973,7Networks_RH_Default_PFCdPFCm_18,2
976,7Networks_RH_Default_PFCdPFCm_21,2
977,7Networks_RH_Default_PFCdPFCm_22,1
978,7Networks_RH_Default_PFCdPFCm_23,2
979,7Networks_RH_Default_PFCdPFCm_24,3
