,network_name,zero_count
8,7Networks_LH_Vis_9,1
13,7Networks_LH_Vis_14,1
14,7Networks_LH_Vis_15,1
17,7Networks_LH_Vis_18,3
23,7Networks_LH_Vis_24,1
26,7Networks_LH_Vis_27,1
27,7Networks_LH_Vis_28,1
29,7Networks_LH_Vis_30,1
32,7Networks_LH_Vis_33,1
39,7Networks_LH_Vis_40,1
41,7Networks_LH_Vis_42,1
51,7Networks_LH_Vis_52,1
53,7Networks_LH_Vis_54,1
57,7Networks_LH_Vis_58,1
124,7Networks_LH_SomMot_44,1
144,7Networks_LH_SomMot_64,1
145,7Networks_LH_SomMot_65,1
151,7Networks_LH_SomMot_71,2
152,7Networks_LH_SomMot_72,1
156,7Networks_LH_SomMot_76,1
157,7Networks_LH_SomMot_77,1
162,7Networks_LH_SomMot_82,2
163,7Networks_LH_SomMot_83,1
165,7Networks_LH_SomMot_85,2
166,7Networks_LH_SomMot_86,3
167,7Networks_LH_SomMot_87,1
168,7Networks_LH_SomMot_88,2
169,7Networks_LH_SomMot_89,1
170,7Networks_LH_SomMot_90,1
171,7Networks_LH_SomMot_91,1
172,7Networks_LH_DorsAttn_Post_1,2
173,7Networks_LH_DorsAttn_Post_2,7
213,7Networks_LH_DorsAttn_Post_42,1
219,7Networks_LH_DorsAttn_Post_48,1
220,7Networks_LH_DorsAttn_Post_49,1
244,7Networks_LH_SalVentAttn_FrOperIns_1,1
247,7Networks_LH_SalVentAttn_FrOperIns_4,1
285,7Networks_LH_SalVentAttn_Med_17,1
286,7Networks_LH_SalVentAttn_Med_18,4
287,7Networks_LH_SalVentAttn_Med_19,1
288,7Networks_LH_Limbic_OFC_1,425
289,7Networks_LH_Limbic_OFC_2,2846
290,7Networks_LH_Limbic_OFC_3,5308
291,7Networks_LH_Limbic_OFC_4,2211
292,7Networks_LH_Limbic_OFC_5,28
293,7Networks_LH_Limbic_OFC_6,12973
294,7Networks_LH_Limbic_OFC_7,8
295,7Networks_LH_Limbic_OFC_8,18
296,7Networks_LH_Limbic_OFC_9,53
297,7Networks_LH_Limbic_OFC_10,50
298,7Networks_LH_Limbic_OFC_11,3674
299,7Networks_LH_Limbic_OFC_12,447
300,7Networks_LH_Limbic_OFC_13,24
301,7Networks_LH_Limbic_OFC_14,8
302,7Networks_LH_Limbic_TempPole_1,111
303,7Networks_LH_Limbic_TempPole_2,24
304,7Networks_LH_Limbic_TempPole_3,15
305,7Networks_LH_Limbic_TempPole_4,8
306,7Networks_LH_Limbic_TempPole_5,16
307,7Networks_LH_Limbic_TempPole_6,104
308,7Networks_LH_Limbic_TempPole_7,2
309,7Networks_LH_Limbic_TempPole_8,2
310,7Networks_LH_Limbic_TempPole_9,15
311,7Networks_LH_Limbic_TempPole_10,13
312,7Networks_LH_Limbic_TempPole_11,37
315,7Networks_LH_Limbic_TempPole_14,3
332,7Networks_LH_Cont_Temp_1,26
334,7Networks_LH_Cont_Temp_3,3
336,7Networks_LH_Cont_PFCd_1,1
355,7Networks_LH_Cont_PFCl_19,1
357,7Networks_LH_Cont_OFC_1,8
359,7Networks_LH_Cont_PFCv_2,1
393,7Networks_LH_Default_Temp_1,5
394,7Networks_LH_Default_Temp_2,3
395,7Networks_LH_Default_Temp_3,9
398,7Networks_LH_Default_Temp_6,3
399,7Networks_LH_Default_Temp_7,1
400,7Networks_LH_Default_Temp_8,8
402,7Networks_LH_Default_Temp_10,1
404,7Networks_LH_Default_Temp_12,1
413,7Networks_LH_Default_Temp_21,1
415,7Networks_LH_Default_PFC_1,9
416,7Networks_LH_Default_PFC_2,2
417,7Networks_LH_Default_PFC_3,4
419,7Networks_LH_Default_PFC_5,9
420,7Networks_LH_Default_PFC_6,3
421,7Networks_LH_Default_PFC_7,2
422,7Networks_LH_Default_PFC_8,1
423,7Networks_LH_Default_PFC_9,11
424,7Networks_LH_Default_PFC_10,1
425,7Networks_LH_Default_PFC_11,1
426,7Networks_LH_Default_PFC_12,4
427,7Networks_LH_Default_PFC_13,3
428,7Networks_LH_Default_PFC_14,1
430,7Networks_LH_Default_PFC_16,2
437,7Networks_LH_Default_PFC_23,1
454,7Networks_LH_Default_PFC_40,4
457,7Networks_LH_Default_PFC_43,1
460,7Networks_LH_Default_PFC_46,2
461,7Networks_LH_Default_PFC_47,2
462,7Networks_LH_Default_PFC_48,2
463,7Networks_LH_Default_PFC_49,2
464,7Networks_LH_Default_PFC_50,3
519,7Networks_RH_Vis_20,1
524,7Networks_RH_Vis_25,1
526,7Networks_RH_Vis_27,2
528,7Networks_RH_Vis_29,2
536,7Networks_RH_Vis_37,7
542,7Networks_RH_Vis_43,4
544,7Networks_RH_Vis_45,3
545,7Networks_RH_Vis_46,1
552,7Networks_RH_Vis_53,1
557,7Networks_RH_Vis_58,1
558,7Networks_RH_Vis_59,1
560,7Networks_RH_Vis_61,1
567,7Networks_RH_Vis_68,1
626,7Networks_RH_SomMot_46,1
636,7Networks_RH_SomMot_56,1
643,7Networks_RH_SomMot_63,1
645,7Networks_RH_SomMot_65,1
653,7Networks_RH_SomMot_73,1
