,network_name,zero_count
0,17Networks_LH_VisCent_Striate_1,1
1,17Networks_LH_VisCent_Striate_2,1
3,17Networks_LH_VisCent_Striate_4,1
7,17Networks_LH_VisCent_ExStr_4,1
11,17Networks_LH_VisCent_ExStr_8,1
12,17Networks_LH_VisCent_ExStr_9,1
14,17Networks_LH_VisCent_ExStr_11,3
15,17Networks_LH_VisCent_ExStr_12,1
16,17Networks_LH_VisCent_ExStr_13,1
18,17Networks_LH_VisCent_ExStr_15,1
21,17Networks_LH_VisCent_ExStr_18,1
26,17Networks_LH_VisCent_ExStr_23,1
27,17Networks_LH_VisCent_ExStr_24,1
41,17Networks_LH_VisPeri_StriCal_8,1
67,17Networks_LH_SomMotA_2,1
82,17Networks_LH_SomMotA_17,1
83,17Networks_LH_SomMotA_18,1
89,17Networks_LH_SomMotA_24,2
90,17Networks_LH_SomMotA_25,1
94,17Networks_LH_SomMotA_29,1
95,17Networks_LH_SomMotA_30,1
99,17Networks_LH_SomMotA_34,2
101,17Networks_LH_SomMotA_36,2
102,17Networks_LH_SomMotA_37,3
103,17Networks_LH_SomMotA_38,1
104,17Networks_LH_SomMotA_39,2
105,17Networks_LH_SomMotA_40,1
106,17Networks_LH_SomMotA_41,1
107,17Networks_LH_SomMotA_42,1
148,17Networks_LH_DorsAttnA_TempOcc_2,2
178,17Networks_LH_DorsAttnA_SPL_15,1
196,17Networks_LH_DorsAttnB_PostC_14,1
197,17Networks_LH_DorsAttnB_PostC_15,1
200,17Networks_LH_DorsAttnB_PostC_18,1
226,17Networks_LH_SalVentAttnA_Ins_1,1
229,17Networks_LH_SalVentAttnA_Ins_4,1
248,17Networks_LH_SalVentAttnA_FrMed_6,1
249,17Networks_LH_SalVentAttnA_FrMed_7,1
252,17Networks_LH_SalVentAttnB_PFCd_1,4
257,17Networks_LH_SalVentAttnB_PFCl_5,1
259,17Networks_LH_SalVentAttnB_Ins_1,2
261,17Networks_LH_SalVentAttnB_Ins_3,1
267,17Networks_LH_SalVentAttnB_OFC_1,8
272,17Networks_LH_LimbicB_OFC_1,425
273,17Networks_LH_LimbicB_OFC_2,2845
274,17Networks_LH_LimbicB_OFC_3,5307
275,17Networks_LH_LimbicB_OFC_4,2211
276,17Networks_LH_LimbicB_OFC_5,28
277,17Networks_LH_LimbicB_OFC_6,12968
278,17Networks_LH_LimbicB_OFC_7,8
279,17Networks_LH_LimbicB_OFC_8,18
280,17Networks_LH_LimbicB_OFC_9,53
281,17Networks_LH_LimbicB_OFC_10,50
282,17Networks_LH_LimbicB_OFC_11,3673
283,17Networks_LH_LimbicB_OFC_12,447
284,17Networks_LH_LimbicB_OFC_13,24
285,17Networks_LH_LimbicB_OFC_14,9
286,17Networks_LH_LimbicB_OFC_15,8
287,17Networks_LH_LimbicB_OFC_16,4
288,17Networks_LH_LimbicA_TempPole_1,111
289,17Networks_LH_LimbicA_TempPole_2,24
290,17Networks_LH_LimbicA_TempPole_3,15
291,17Networks_LH_LimbicA_TempPole_4,8
292,17Networks_LH_LimbicA_TempPole_5,16
293,17Networks_LH_LimbicA_TempPole_6,104
294,17Networks_LH_LimbicA_TempPole_7,2
295,17Networks_LH_LimbicA_TempPole_8,2
296,17Networks_LH_LimbicA_TempPole_9,15
297,17Networks_LH_LimbicA_TempPole_10,13
298,17Networks_LH_LimbicA_TempPole_11,37
300,17Networks_LH_LimbicA_TempPole_13,3
302,17Networks_LH_ContA_Temp_1,7
333,17Networks_LH_ContB_Temp_1,26
334,17Networks_LH_ContB_Temp_2,8
335,17Networks_LH_ContB_Temp_3,3
346,17Networks_LH_ContB_PFCd_2,1
347,17Networks_LH_ContB_PFCd_3,2
351,17Networks_LH_ContB_PFClv_1,3
353,17Networks_LH_ContB_PFClv_3,1
410,17Networks_LH_DefaultA_PFCm_1,2
411,17Networks_LH_DefaultA_PFCm_2,11
412,17Networks_LH_DefaultA_PFCm_3,1
413,17Networks_LH_DefaultA_PFCm_4,3
414,17Networks_LH_DefaultA_PFCm_5,2
418,17Networks_LH_DefaultA_PFCm_9,1
422,17Networks_LH_DefaultB_Temp_1,5
423,17Networks_LH_DefaultB_Temp_2,3
424,17Networks_LH_DefaultB_Temp_3,9
427,17Networks_LH_DefaultB_Temp_6,3
429,17Networks_LH_DefaultB_Temp_8,1
430,17Networks_LH_DefaultB_Temp_9,1
451,17Networks_LH_DefaultB_PFCd_8,4
452,17Networks_LH_DefaultB_PFCd_9,2
453,17Networks_LH_DefaultB_PFCd_10,2
454,17Networks_LH_DefaultB_PFCd_11,2
455,17Networks_LH_DefaultB_PFCd_12,3
457,17Networks_LH_DefaultB_PFCl_2,1
458,17Networks_LH_DefaultB_PFCv_1,9
459,17Networks_LH_DefaultB_PFCv_2,4
461,17Networks_LH_DefaultB_PFCv_4,1
462,17Networks_LH_DefaultB_PFCv_5,1
484,17Networks_LH_TempPar_1,1
490,17Networks_LH_TempPar_7,1
500,17Networks_RH_VisCent_Striate_1,2
502,17Networks_RH_VisCent_Striate_3,4
503,17Networks_RH_VisCent_Striate_4,1
516,17Networks_RH_VisCent_ExStr_13,1
517,17Networks_RH_VisCent_ExStr_14,1
519,17Networks_RH_VisCent_ExStr_16,2
524,17Networks_RH_VisCent_ExStr_21,7
526,17Networks_RH_VisCent_ExStr_23,3
529,17Networks_RH_VisCent_ExStr_26,1
530,17Networks_RH_VisCent_ExStr_27,1
531,17Networks_RH_VisCent_ExStr_28,1
533,17Networks_RH_VisCent_ExStr_30,1
562,17Networks_RH_VisPeri_ExStrSup_6,1
572,17Networks_RH_SomMotA_5,1
577,17Networks_RH_SomMotA_10,1
578,17Networks_RH_SomMotA_11,1
585,17Networks_RH_SomMotA_18,1
587,17Networks_RH_SomMotA_20,1
595,17Networks_RH_SomMotA_28,1
596,17Networks_RH_SomMotA_29,1
600,17Networks_RH_SomMotA_33,1
602,17Networks_RH_SomMotA_35,1
607,17Networks_RH_SomMotA_40,1
608,17Networks_RH_SomMotA_41,3
611,17Networks_RH_SomMotA_44,3
612,17Networks_RH_SomMotA_45,2
613,17Networks_RH_SomMotA_46,2
615,17Networks_RH_SomMotA_48,1
623,17Networks_RH_SomMotB_Cent_8,1
658,17Networks_RH_DorsAttnA_TempOcc_1,4
661,17Networks_RH_DorsAttnA_TempOcc_4,1
690,17Networks_RH_DorsAttnA_SPL_16,1
730,17Networks_RH_SalVentAttnA_PrC_1,1
740,17Networks_RH_SalVentAttnA_Ins_1,2
768,17Networks_RH_SalVentAttnA_FrMed_9,3
769,17Networks_RH_SalVentAttnA_FrMed_10,3
782,17Networks_RH_SalVentAttnB_Ins_1,2
784,17Networks_RH_SalVentAttnB_Ins_3,1
785,17Networks_RH_SalVentAttnB_Ins_4,1
797,17Networks_RH_LimbicB_OFC_1,45
798,17Networks_RH_LimbicB_OFC_2,420
799,17Networks_RH_LimbicB_OFC_3,1385
800,17Networks_RH_LimbicB_OFC_4,4866
801,17Networks_RH_LimbicB_OFC_5,295
802,17Networks_RH_LimbicB_OFC_6,11
803,17Networks_RH_LimbicB_OFC_7,8
804,17Networks_RH_LimbicB_OFC_8,23
805,17Networks_RH_LimbicB_OFC_9,6
806,17Networks_RH_LimbicB_OFC_10,2223
807,17Networks_RH_LimbicB_OFC_11,101
808,17Networks_RH_LimbicB_OFC_12,37
809,17Networks_RH_LimbicB_OFC_13,33
810,17Networks_RH_LimbicB_OFC_14,17
811,17Networks_RH_LimbicB_OFC_15,6
812,17Networks_RH_LimbicB_OFC_16,5
813,17Networks_RH_LimbicA_TempPole_1,111
814,17Networks_RH_LimbicA_TempPole_2,25
815,17Networks_RH_LimbicA_TempPole_3,3
816,17Networks_RH_LimbicA_TempPole_4,5
817,17Networks_RH_LimbicA_TempPole_5,2
818,17Networks_RH_LimbicA_TempPole_6,55
819,17Networks_RH_LimbicA_TempPole_7,21
820,17Networks_RH_LimbicA_TempPole_8,33
821,17Networks_RH_LimbicA_TempPole_9,5
822,17Networks_RH_LimbicA_TempPole_10,6
823,17Networks_RH_LimbicA_TempPole_11,26
824,17Networks_RH_LimbicA_TempPole_12,2
825,17Networks_RH_LimbicA_TempPole_13,6
826,17Networks_RH_LimbicA_TempPole_14,9
827,17Networks_RH_LimbicA_TempPole_15,1
828,17Networks_RH_ContA_Temp_1,2
829,17Networks_RH_ContA_Temp_2,1
856,17Networks_RH_ContB_Temp_1,2
857,17Networks_RH_ContB_Temp_2,4
858,17Networks_RH_ContB_Temp_3,41
859,17Networks_RH_ContB_Temp_4,22
874,17Networks_RH_ContB_PFCld_2,1
877,17Networks_RH_ContB_PFCld_5,1
878,17Networks_RH_ContB_PFCld_6,1
880,17Networks_RH_ContB_PFCld_8,1
883,17Networks_RH_ContB_PFCld_11,2
884,17Networks_RH_ContB_PFClv_1,2
885,17Networks_RH_ContB_PFClv_2,7
886,17Networks_RH_ContB_PFClv_3,4
887,17Networks_RH_ContB_PFClv_4,1
888,17Networks_RH_ContB_PFClv_5,1
889,17Networks_RH_ContB_PFClv_6,1
891,17Networks_RH_ContB_PFClv_8,2
893,17Networks_RH_ContB_PFCmp_2,1
921,17Networks_RH_DefaultA_PFCd_2,1
924,17Networks_RH_DefaultA_PFCd_5,1
937,17Networks_RH_DefaultA_PFCm_1,6
938,17Networks_RH_DefaultA_PFCm_2,4
939,17Networks_RH_DefaultA_PFCm_3,1
940,17Networks_RH_DefaultA_PFCm_4,2
941,17Networks_RH_DefaultA_PFCm_5,1
942,17Networks_RH_DefaultA_PFCm_6,1
949,17Networks_RH_DefaultB_Temp_3,2
950,17Networks_RH_DefaultB_AntTemp_1,2
951,17Networks_RH_DefaultB_AntTemp_2,4
952,17Networks_RH_DefaultB_AntTemp_3,1
953,17Networks_RH_DefaultB_AntTemp_4,1
954,17Networks_RH_DefaultB_PFCd_1,2
958,17Networks_RH_DefaultB_PFCd_5,2
959,17Networks_RH_DefaultB_PFCd_6,2
960,17Networks_RH_DefaultB_PFCd_7,2
961,17Networks_RH_DefaultB_PFCd_8,3
962,17Networks_RH_DefaultB_PFCv_1,5
964,17Networks_RH_DefaultB_PFCv_3,2
965,17Networks_RH_DefaultB_PFCv_4,2
